episode,length,total_reward,avg_q,exploration
109,3477,-0.7572652258789105,11.400282,0.577741023922347
110,19000,36.68480480025606,12.00782,0.5748666904699972
111,2223,-30.256694658344827,11.912328,0.5720066571840768
112,3515,-64.02055013969091,12.460176,0.5691608529194795
113,2907,-51.6962977974954,13.240634,0.5663292068850543
114,1691,-33.46620641461054,13.0045595,0.5635116486418451
115,2052,13.189170894888832,12.862045,0.5607081081013385
116,3059,-51.710456621046795,13.518689,0.55791851552372
117,1596,-17.83229253123079,14.044278,0.5551428015161394
118,2945,-31.154053355500736,13.705698,0.5523808970309845
119,2223,1.074469593949999,13.559057,0.5496327333641637
120,2584,-14.640736343469058,13.491588,0.5468982421533968
121,3705,-73.05767982829983,14.2300005,0.5441773553765142
122,2793,9.061185399456974,14.051099,0.5414700053497654
123,5719,-9.22241859644241,14.456688,0.5387761247261348
124,1995,-31.09622066468215,14.544731,0.5360956464936665
125,19000,41.97636643926306,15.092621,0.5334285039737976
126,2147,-38.50286518880621,14.767862,0.5307746308196991
127,3819,-46.657635221562686,16.372013,0.5281339610146261
128,2375,-14.24855085473304,15.884409,0.5255064288702748
129,2584,-44.98089750380019,15.135956,0.5228919690251491
130,3515,-145.51861717925357,15.575951,0.5202905164429344
131,4807,-3.9223333540613368,15.769533,0.5177020064108802
132,3249,-95.24370963270843,15.260757,0.5151263745381892
133,2660,-44.063432168966244,16.354576,0.5125635567544172
134,5738,-62.580194580168495,16.617262,0.5100134893078779
135,2147,-51.65897842405009,16.11029,0.5074761087640577
136,6023,-52.94006350472894,16.268682,0.5049513520040375
137,3363,-6.0108439634636,15.665899,0.5024391562229229
138,19000,-67.24661616712635,16.928349,0.49993945892828157
139,6612,-17.38309583688148,17.560812,0.4974521979385887
140,3230,34.094393539991046,17.480778,0.49497731138168033
141,2299,-99.16383388581518,17.262186,0.4925147376932143
142,2527,-60.03986975876866,16.936972,0.49006441561513864
143,2014,-29.95408841975086,16.77034,0.48762628419416787
144,19000,35.98785003406837,17.578419,0.4852002827802666
145,2052,-49.29824943655551,18.052334,0.48278635102514095
146,12597,-95.8081344942998,18.30864,0.4803844288807373
147,3059,-10.183072547496295,18.07597,0.4779944565977486
148,2717,-45.300490564252016,18.445665,0.475616374724128
149,19000,41.42022827548681,17.961857,0.47325012410361
150,5510,-9.055701638160897,18.659534,0.4708956458742389
151,1862,-37.899750544964355,18.31992,0.4685528814669044
152,19000,13.22927006916649,19.121088,0.46622177260388503
153,4332,-13.480908642914969,19.718515,0.4639022612973981
154,1805,3.954277695831408,20.07833,0.46159428984815737
155,6954,-45.370114199148055,18.93426,0.45929780084393773
156,6973,-44.99633637799539,19.162958,0.45701273715814705
157,1615,-16.539444491224486,19.750935,0.4547390419484051
158,1767,-9.134476385208288,19.513716,0.4524766586551295
159,2128,-3.832140799616468,18.777857,0.4502255310001289
160,19000,19.68466837936312,19.813068,0.44798560298520296
